"","Model 1","Model 2","Model 3","Model 4","Model 5","Model 6","Model 7"
"Observations","1731","1731","1731","1731","1731","1731","1731"
"Parameters","3","5","6","22","25","28","31"
"Deviance","2372.26","2367.7","2269.93","2191.6","2160.57","2156.43","2112.89"
"R.n","0.014","0.018","0.090","0.145","0.166","0.169","0.198"
"Chi Square","18","23","121","199","230","234","278"
"Degrees of Freedom","2","4","5","21","24","27","30"
"p","1e-04","0.00013","0.000","0.000","0.000","0.000","0.000"
"Residual Deviance","1728","1726","1725","1709","1706","1703","1700"
"AIC","2378","2378","2282","2236","2211","2212","2175"
"Accuracy [note]","47.6%","47.5%","38.3%","36.3%","35.4%","35.4%","34.8%"
