"","Global","England","Scotland","Wales","England","Scotland","Wales"
"Observations","1685","728","796","161","728","796","161"
"Parameters","14","14","14","14","9","12","6"
"Deviance","2079.34","884.02","957.03","199.97","888.86","959.0","205.42"
"R.n","0.180","0.180","0.223","0.178","0.172","0.221","0.138"
"Chi Square","244","105","146","23","100","144","18"
"Degrees of Freedom","13","13","13","13","8","11","5"
"p","0.000","0.000","0.000","0.04092","0.000","0.000","0.00346"
"Residual Deviance","1671","714","782","147","719","784","155"
"Accuracy","66.5%","66.2%","67.2%","56.1%","66.6%","66.8%","59.4%"
