Category,Variable,Unit
Turbine,Planning Status,Accept/Reject
,Turbine Capacity,MW
,Number of Turbines,
,Year,
,Country,
Resource,Wind Speed,m/s
Features,Airports,km
,Roads *,km
,Railways,km
,Urban Areas,km
,HV Powerlines **,km
Landscape,Areas of Outstanding Natural Beauty,km
,National Parks,km
,Heritage Coast,km
Nature,Special Protection Areas,km
,National Nature Reserve,km
,Sites of Special Scientific Interest,km
,Special Areas of Conservation,km
Geographic,Elevation,m
,Slope,%
Census,Level of Qualification,%
,Age,Years
,Social Grade,%
,Tenure,%
Political,Conservatives,%
,Labour,%
,Liberal Democrat,%
Proximity,Nearest Turbine (Operational),km
,Nearest Turbine (Rejected),km
